model_name,num_children,has_parent,is_in_records,license,author
vicgalle/gpt2-open-instruct-v1,4,False,True,mit,
unsloth/mistral-7b-instruct-v0.3-bnb-4bit,4,False,False,,
unsloth/meta-llama-3.1-8b-bnb-4bit,4,False,False,,
unsloth/llama-3-8b-Instruct-bnb-4bit,4,False,False,,
unsloth/gpt-oss-20b-unsloth-bnb-4bit,4,False,False,,
unsloth/gemma-3-4b-it-unsloth-bnb-4bit,4,False,False,,
unsloth/Meta-Llama-3.1-8B-Instruct,4,False,False,,
unsloth/Llama-3.2-3B-Instruct-bnb-4bit,4,False,False,,
unsloth/Llama-3.2-1B-Instruct-bnb-4bit,4,False,False,,
tiiuae/Falcon3-1B-Instruct,4,False,False,,
stable-diffusion-v1-5/stable-diffusion-v1-5,4,False,False,,
shleeeee/mistral-ko-OpenOrca-wiki-v1,4,False,True,other,
OpenBuddy/openbuddy-mixtral-7bx8-v16.3-32k,4,False,True,apache-2.0,
rombodawg/Open_Gpt4_8x7B_v0.2,4,False,True,cc-by-4.0,
openlynn/Llama-3-Soliloquy-8B,4,False,False,,
openbmb/MiniCPM-2B-128k,4,False,True,,
openai/gpt-oss-20b,4,False,True,apache-2.0,
nvidia/Llama3-ChatQA-1.5-8B,4,False,False,,
meta-llama/Llama-3.1-8B,4,False,False,,
OpenBuddy/openbuddy-mixtral-8x7b-v15.4,4,False,True,apache-2.0,
openbmb/MiniCPM-2B-sft-fp32,4,False,True,other,
OpenBuddy/openbuddy-mistral-7b-v13-base,4,False,True,apache-2.0,
- microsoft/Phi-3-mini-4k-instruct,4,False,False,,
- infly/OpenCoder-8B-Base,4,False,False,,
- infly/OpenCoder-1.5B-Instruct,4,False,False,,
- infly/OpenCoder-1.5B-Base,4,False,False,,
- google/paligemma-3b-pt-224,4,False,False,,
- google/gemma-2-9b-it,4,False,False,,
- gen-robot/openvla-7b-rlvla-warmup,4,False,False,,
- codellama/CodeLlama-7b-Python-hf,4,False,False,,
- bigcode/starcoder2-15b,4,False,False,,
- TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,False,False,,
- Qwen/Qwen3-8B,4,False,False,,
