name,id,model_type,license,date_released,date_last_modified,downloads,author
LLaMA-3-8B-Function-Calling-GGUF,OpenSourceEnjoyer/LLaMA-3-8B-Function-Calling-GGUF,,apache-2.0,2024-06-27T03:45:27+00:00,2024-06-27T04:00:15+00:00,13,OpenSourceEnjoyer
llm-open-source,PedroCintra67/llm-open-source,,,2024-05-30T22:48:21+00:00,2024-05-30T22:48:21+00:00,,PedroCintra67
Opensourcecognix,George33/Opensourcecognix,,,2024-03-28T11:57:26+00:00,2024-03-28T11:57:26+00:00,,George33
Nous-Hermes-2-Mistral-7B-DPO-SFT-GGUF-Q8,OpenSourceEnjoyer/Nous-Hermes-2-Mistral-7B-DPO-SFT-GGUF-Q8,,apache-2.0,2024-03-19T21:58:45+00:00,2024-03-19T22:04:21+00:00,55,OpenSourceEnjoyer
sbds-model,openSourcerer9000/sbds-model,,mit,2024-03-19T16:33:42+00:00,2024-03-19T16:47:03+00:00,,openSourcerer9000
Nous-Hermes-2-Mistral-7B-DPO-SFT-FP16,OpenSourceEnjoyer/Nous-Hermes-2-Mistral-7B-DPO-SFT-FP16,text-generation,apache-2.0,2024-03-15T01:19:19+00:00,2024-03-15T01:31:09+00:00,38,OpenSourceEnjoyer
Nous-Hermes-2-Mistral-7B-DPO-SFT-LoRA,OpenSourceEnjoyer/Nous-Hermes-2-Mistral-7B-DPO-SFT-LoRA,,apache-2.0,2024-03-15T01:19:01+00:00,2024-03-15T01:19:18+00:00,,OpenSourceEnjoyer
Yi-34B-200K-bnb-4bit,OpenSourceEnjoyer/Yi-34B-200K-bnb-4bit,text-generation,,2024-03-14T11:40:16+00:00,2024-03-14T12:15:56+00:00,2,OpenSourceEnjoyer
open-source,mrdas/open-source,,,2024-02-29T13:29:58+00:00,2024-02-29T13:29:58+00:00,,mrdas
flant5-opensource-and-tuned,mixtralyanis/flant5-opensource-and-tuned,,,2024-02-27T16:20:33+00:00,2024-02-27T16:24:59+00:00,2,mixtralyanis
flant5-opensource,mixtralyanis/flant5-opensource,,apache-2.0,2024-02-27T16:12:16+00:00,2024-02-27T16:15:21+00:00,3,mixtralyanis
bart_opensource,mixtralyanis/bart_opensource,,mit,2024-02-25T18:02:34+00:00,2024-02-25T18:50:38+00:00,2,mixtralyanis
wormgpt-24,Opensourced/wormgpt-24,,apache-2.0,2024-02-07T04:21:04+00:00,2024-02-07T04:31:50+00:00,,Opensourced
coh_llama_on_open_source_data,haoliu/coh_llama_on_open_source_data,,,2023-08-26T19:14:12+00:00,2023-09-14T07:24:10+00:00,,haoliu
gpt4all,OpenSourceMentorShip/gpt4all,,,2023-04-17T14:21:29+00:00,2023-04-17T14:33:12+00:00,,OpenSourceMentorShip
extract_names,opensource/extract_names,token-classification,apache-2.0,2022-03-02T23:29:05+00:00,2021-01-19T04:59:04+00:00,10,opensource
