child_model,base_model
rkumar1999/Llama3.2-3B-Prover-openr1-distill-SFT,meta-llama/Llama-3.2-3B-Instruct
crislmfroes/svla-panda-open-articulated-objects-v5.0-remove-handle-obs,lerobot/smolvla_base
OpenBuddy/OpenBuddy-R10528DistillQwen-72B-Preview4,Qwen/Qwen2.5-72B-Base
levicu/whisat-openai,- openai/whisper-large-v2
rkumar1999/Llama3.2-3B-Prover-openr1-SFT,meta-llama/Llama-3.2-3B-Instruct
ChenWu98/openthoughts3_math_random_subset_seed0_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ToniTN/OpenELM-3B-Q4_K_M-GGUF,apple/OpenELM-3B
oksanany/gptoss-openai,openai/gpt-oss-20b
openmed-community/AFM-4.5B-OpenMed-RL-CoT,arcee-ai/AFM-4.5B
openmed-community/AFM-4.5B-OpenMed,arcee-ai/AFM-4.5B
OpenGVLab/InternVL3_5-241B-A28B-Flash,- OpenGVLab/InternVL3_5-241B-A28B
OpenGVLab/InternVL3_5-30B-A3B-Flash,- OpenGVLab/InternVL3_5-30B-A3B
OpenGVLab/InternVL3_5-38B-Flash,- OpenGVLab/InternVL3_5-38B
OpenGVLab/InternVL3_5-14B-Flash,- OpenGVLab/InternVL3_5-14B
OpenGVLab/InternVL3_5-8B-Flash,- OpenGVLab/InternVL3_5-8B
OpenGVLab/InternVL3_5-4B-Flash,- OpenGVLab/InternVL3_5-4B
OpenGVLab/InternVL3_5-2B-Flash,- OpenGVLab/InternVL3_5-2B
OpenGVLab/InternVL3_5-1B-Flash,- OpenGVLab/InternVL3_5-1B
Aminfri/Juggernaut_XL_Ragnarok-openvino-8bit,eniora/Juggernaut_XL_Ragnarok
OpenMachineAI/Gena1-OM-7Mil-Base,- TheOpenMachineAI/Gena1-OM-7Mil-Base
lei-ucsd/mamba-retriever-do_not_open-dist_chunk,state-spaces/mamba2-130m
lei-ucsd/mamba-retriever-do_not_open-regular_chunk,state-spaces/mamba2-130m
theoden8/open-r1-qwen-2.5-1.5b-r1-countdown,Qwen/Qwen2.5-1.5B-Instruct
opendiffusionai/xlsd32-flow-beta1,- opendiffusionai/xlsd32-beta1
mradermacher/openhands-lm-32b-v0.1-jackterated-GGUF,JackCloudman/openhands-lm-32b-v0.1-jackterated
BeboBob/animagine-xl-4.0-openvino,cagliostrolab/animagine-xl-4.0
Mungert/OpenCodeReasoning-Nemotron-32B-IOI-GGUF,- Qwen/Qwen2.5-32B-Instruct
Mungert/OpenReasoning-Nemotron-14B-GGUF,- Qwen/Qwen2.5-14B-Instruct
Mungert/OpenReasoning-Nemotron-1.5B-GGUF,- Qwen/Qwen2.5-1.5B-Instruct
Mungert/OpenReasoning-Nemotron-7B-GGUF,- Qwen/Qwen2.5-7B-Instruct
Mungert/OpenReasoning-Nemotron-32B-GGUF,- Qwen/Qwen2.5-32B-Instruct
Mungert/OpenMath-Nemotron-14B-Kaggle-GGUF,- Qwen/Qwen2.5-14B
Mungert/OpenMath2-Llama3.1-8B-GGUF,- meta-llama/Llama-3.1-8B
Mungert/OpenMath-CodeLlama-13b-Python-hf-GGUF,- codellama/CodeLlama-13b-Python-hf
Mungert/OpenMath-CodeLlama-7b-Python-hf-GGUF,- codellama/CodeLlama-7b-Python-hf
Mungert/OpenMath-Mistral-7B-v0.1-hf-GGUF,- mistralai/Mistral-7B-v0.1
Mungert/OpenThinker3-7B-GGUF,Qwen/Qwen2.5-7B-Instruct
Mungert/OpenCodeReasoning-Nemotron-14B-GGUF,- Qwen/Qwen2.5-14B-Instruct
Mungert/OpenCodeReasoning-Nemotron-7B-GGUF,- Qwen/Qwen2.5-7B-Instruct
Mungert/OpenCodeReasoning-Nemotron-32B-GGUF,- Qwen/Qwen2.5-32B-Instruct
Mungert/OpenMath-Nemotron-1.5B-GGUF,- Qwen/Qwen2.5-Math-1.5B
Mungert/OpenMath-Nemotron-7B-GGUF,- Qwen/Qwen2.5-Math-7B
Mungert/OpenMath-Nemotron-32B-GGUF,- Qwen/Qwen2.5-32B
Mungert/openhands-lm-7b-v0.1-GGUF,- Qwen/Qwen2.5-Coder-7B-Instruct
twelvehertz/open-o3-simpleqa-rl,twelvehertz/open-o3-sft-13-merged-full
CraftJarvis/minecraft-openha-qwen2vl-7b-2509,- Qwen/Qwen2-VL-7B-Instruct
songeeeeey/my-finedtuned-openchat-bot,openchat/openchat-3.5-0106
manpk-ai/OpenCUA-32B-Copy2-Inference,- Qwen/Qwen2.5-VL-32B-Instruct
OpenPeerAI/Cloud-Agents,- OpenPeerAI/OpenPeerLLM
maskedds/bge-reranker-base-openvino,BAAI/bge-reranker-base
manpk-ai/OpenCUA-32B-Copy-Inference,- Qwen/Qwen2.5-VL-32B-Instruct
ChenWu98/openthoughts3_math_teachers_source_split_17000_5000_1_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_teachers_source_split_17000_5000_0_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
flyingbugs/qwen-65-open-r1,Qwen/Qwen2.5-Math-7B-Instruct
ChenWu98/openthoughts3_math_teachers_17000_5000_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_teachers_source_condition_17000_5000_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
mradermacher/openbuddy-thinker-70b-v26-preview-GGUF,OpenBuddy/openbuddy-thinker-70b-v26-preview
twelvehertz/open-o3-sft-dummy,unsloth/Qwen2.5-14B-Instruct
manpk-ai/OpenCUA-32B-Inference,- Qwen/Qwen2.5-VL-32B-Instruct
opendiffusionai/xllsd16-v1,- opendiffusionai/xllsd-alpha0
ChenWu98/openthoughts3_math_teachers_source_split_17000_20000_1_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_teachers_source_condition_17000_20000_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
Echo9Zulu/Kokoro-82M-FP16-OpenVINO,- hexgrad/Kokoro-82M
ChenWu98/openthoughts3_math_teachers_source_split_17000_20000_0_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_teachers_17000_20000_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
