child_model,base_model
bartowski/open-r1_OlympicCoder-7B-GGUF,open-r1/OlympicCoder-7B
deqing/llama_3.2_1b_openwebtext_2025_03_02_converted,meta-llama/Llama-3.2-1B
adrlau/qwen2-vl-openscad-v1.2,unsloth/qwen2-vl-7b-instruct-unsloth-bnb-4bit
jbiggsets/openalex_topic_labels_with_setfit,BAAI/bge-small-en-v1.5
eef123/Adapter-Distilled-Qwen2.5-7B-OpenThoughts114k,Qwen/Qwen2.5-7B-Instruct
Aditya-Krishna/meta-llama-3-8B-lora-finetuned-openassistant-guanaco,meta-llama/Meta-Llama-3-8B
a-F1/Qwen2.5-Math-1.5B-Instruct-Bi-OpenR1,Qwen/Qwen2.5-Math-1.5B-Instruct
windchant/Qwen2.5-0.5B-Instruct-openvino-4bit,Qwen/Qwen2.5-0.5B-Instruct
krinetic1234/Qwen2.5-1.5B-Open-R1-GRPO,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
bartowski/OpenPipe_Deductive-Reasoning-Qwen-14B-GGUF,OpenPipe/Deductive-Reasoning-Qwen-14B
yongdol/Llama-3-Open-Ko-8B-Instruct-formde,unsloth/deepseek-r1-distill-llama-8b-unsloth-bnb-4bit
windchant/DeepSeek-R1-Distill-Qwen-1.5B-openvino-4bit,windchant/DeepSeek-R1-Distill-Qwen-1.5B-openvino
windchant/DeepSeek-R1-Distill-Qwen-1.5B-openvino-8bit,windchant/DeepSeek-R1-Distill-Qwen-1.5B-openvino
flyingbugs/OpenR1-Qwen-7B-SFT-auto,Qwen/Qwen2.5-7B-Instruct
mradermacher/OpenR1-Qwen-7B-Italian-GGUF,WiroAI/OpenR1-Qwen-7B-Italian
windchant/DeepSeek-R1-Distill-Qwen-1.5B-openvino,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
mradermacher/gpt2-open-instruct-v1-i1-GGUF,vicgalle/gpt2-open-instruct-v1
mradermacher/gpt2-open-instruct-v1-GGUF,vicgalle/gpt2-open-instruct-v1
mlfoundations-dev/multiple_samples_all_openr1_clean,Qwen/Qwen2.5-7B-Instruct
bartowski/OpenPipe_Deductive-Reasoning-Qwen-32B-GGUF,OpenPipe/Deductive-Reasoning-Qwen-32B
adrlau/qwen2-vl-openscad-adapter-v1.2,unsloth/qwen2-vl-7b-instruct-unsloth-bnb-4bit
Godreign/meta-llama-3-8B-lora-finetuned-openassistant-guanaco,meta-llama/Meta-Llama-3-8B
Jeremmmyyyyy/Open-R1-QA,open-r1/OpenR1-Qwen-7B
mlfoundations-dev/1epoch_OpenThoughts-114k,Qwen/Qwen2.5-7B-Instruct
mradermacher/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.3.1-GGUF,linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.3.1
mradermacher/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.4-GGUF,linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.4
mradermacher/Llama-3-Open-Ko-8B-LinkOnX-Modeler-v1.1-GGUF,linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-v1.1
amornpan/openthaigpt-MedChatModelv11,- openthaigpt/openthaigpt1.5-7b-instruct
amrezkazemi/Qwen2.5-7B-Open-R1-GRPO,Qwen/Qwen2.5-7B-Instruct
mradermacher/open-llama-7b-v2-open-instruct-i1-GGUF,VMware/open-llama-7b-v2-open-instruct
mradermacher/OpenR1-Qwen-7B-SFT-Instruct-GGUF,InfiniAILab/OpenR1-Qwen-7B-SFT-Instruct
InfiniAILab/OpenR1-Qwen-1.5B-SFT-Instruct,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/OpenCrystal-L3-15B-v2.1-i1-GGUF,Darkknight535/OpenCrystal-L3-15B-v2.1
mradermacher/OpenCrystal-L3-15B-v2.1-GGUF,Darkknight535/OpenCrystal-L3-15B-v2.1
mradermacher/mistral-7b-openorca20k-i1-GGUF,rana-shahroz/mistral-7b-openorca20k
schalor/wav2vec2-large-xls-r-300m-nepali-openslr,facebook/wav2vec2-xls-r-300m
andquant/OpenThinker-7B-IQ4_NL-GGUF,open-thoughts/OpenThinker-7B
sahel-sh/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.4-gguf,beomi/Llama-3-Open-Ko-8B-Instruct-preview
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.4,beomi/Llama-3-Open-Ko-8B-Instruct-preview
mradermacher/mistral-7b-openplatypus-i1-GGUF,rana-shahroz/mistral-7b-openplatypus
mradermacher/mistral-7b-openplatypus-GGUF,rana-shahroz/mistral-7b-openplatypus
joeychen1/OpenHermes-Emojitron-001-Q4_K_M-GGUF,movaxbx/OpenHermes-Emojitron-001
mradermacher/DCFT-OpenThinker-Verified-Llama-3_3-70B-bs-1024-i1-GGUF,mlfoundations-dev/DCFT-OpenThinker-Verified-Llama-3_3-70B-bs-1024
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.3.1-gguf,beomi/Llama-3-Open-Ko-8B-Instruct-preview
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.3.1,beomi/Llama-3-Open-Ko-8B-Instruct-preview
jorbix/Qwen2.5-1.5B-Open-R1-GRPO_z3_smt_evalastrain,Qwen/Qwen2.5-1.5B-Instruct
aippolit/Qwen2.5-1.5B-Open-R1-Distill-V2,Qwen/Qwen2.5-1.5B-Instruct
ZMC2019/OpenR1-Qwen-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct
dperna/tmp-codellama-7b-openapi-completion-ctx-lvl-fim-05-spm-2048_5_epochs,codellama/CodeLlama-7b-hf
Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora-Q8_0-GGUF,Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora
mona112/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
rvk01/Qwen2.5-1.5B-Open-R1-Distill,meta-llama/Llama-3.1-8B-Instruct
Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora-Q3_K_M-GGUF,Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora
InfiniAILab/OpenR1-Qwen-7B-SFT-Instruct,Qwen/Qwen2.5-7B-Instruct
zhuguoku/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora-Q4_K_M-GGUF,Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora
vamshirvk/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
a-F1/Qwen2.5-Math-1.5B-Instruct-SFT-OpenR1,Qwen/Qwen2.5-Math-1.5B-Instruct
mradermacher/llama-3-8b-openemis-bot-i1-GGUF,oleksiizirka/llama-3-8b-openemis-bot
InfiniAILab/OpenR1-Qwen-3B-SFT-Instruct,Qwen/Qwen2.5-3B-Instruct
AHAMED-27/openassistant-guanaco-vago-solutionsLlama-3-SauerkrautLM-8b-Instruct,VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct
hanxinyan/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
LeonOverload/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
eagle0504/qwen-2_5-1_5b-instruct-using-openai-gsm8k-data-enhanced-with-deepseek-v3,- Qwen/Qwen2.5-1.5B-Instruct
mradermacher/OpenCognito-r1-GGUF,mrdayl/OpenCognito-r1
rasdani/Qwen2.5-0.5B-Open-R1-Code-GRPO,Qwen/Qwen2.5-Coder-0.5B-Instruct
mradermacher/OpenO1-LLama-8B-v0.1-i1-GGUF,O1-OPEN/OpenO1-LLama-8B-v0.1
YeBhoneLin10/openai-whisper-burmese,openai/whisper-small
Monimoy/phi2-openassistant-lora-final,microsoft/phi-2
eagle0504/qwen-2_5-1_5b-instruct-using-openai-gsm8k-data-enhanced-with-deepseek-v2,- Qwen/Qwen2.5-1.5B-Instruct
openminderai/gideon-v1-power,- Qwen/Qwen2.5-7B-Instruct
mradermacher/OpenR1-Qwen-1.5B-Math-Instruct-GGUF,ZMC2019/OpenR1-Qwen-1.5B-Math-Instruct
kaihua666/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
eagle0504/Qwen2_5-1_5B-using-openai-gsm8k-data-enhanced-with-deepseek-v1,- Qwen/Qwen2.5-1.5B
ItsMaxNorm/Llama-3.2-3B-Instruct-Open-R1-Distill,meta-llama/Llama-3.2-3B-Instruct
eagle0504/qwen-2_5-1_5b-instruct-using-openai-gsm8k-data-enhanced-with-deepseek-v,- Qwen/Qwen2.5-1.5B-Instruct
ChengyiDu/Qwen2.5-Coder-3B-OpenR1220K-ft,Qwen/Qwen2.5-Coder-3B
a-F1/Qwen2.5-Math-1.5B-Instruct-COTNOCOT-OpenR1,Qwen/Qwen2.5-Math-1.5B-Instruct
mradermacher/OpenR1-Qwen-7B-SFT2-GGUF,ZMC2019/OpenR1-Qwen-7B-SFT2
mradermacher/OpenCognito-GGUF,mrdayl/OpenCognito
OpenGenerativeAI/Bifrost-R1-32B-backup,- Qwen/Qwen2.5-32B
OpenGenerativeAI/Bifrost-R1-32B,- Qwen/Qwen2.5-32B
tommytracx/OpenR1-Qwen-7B-Q6_K-GGUF,open-r1/OpenR1-Qwen-7B
eagle0504/qwen-2_5-1_5b-instruct-using-openai-gsm8k-data-enhanced-with-deepseek-v4,- Qwen/Qwen2.5-1.5B-Instruct
rsh345/llama3.1-8b-swallow-openmath-dare_ties-d5w5_d5w5,- nvidia/OpenMath2-Llama3.1-8B
mgbam/OpenCLIP-BiomedCLIP-Finetuned,- microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224
mradermacher/OpenO1-LLama-8B-v0.1-GGUF,O1-OPEN/OpenO1-LLama-8B-v0.1
OpenGenerativeAI/Bifrost-14B,- OpenGenerativeAI/Bifrost
mradermacher/OpenCogito2-GGUF,mrdayl/OpenCogito2
mradermacher/Dfyd-Qwen2.5-1.5B-Open-R1-Distill-GGUF,dongrihua/Dfyd-Qwen2.5-1.5B-Open-R1-Distill
eagle0504/qwen-2-5-3b-instruct-using-openai-gsm8k-data-enhanced-with-deepseek-v4,- deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
dongrihua/Dfyd-Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
adamhao123/Qwen2.5-1.5B-Open-Distill-R1-GRPO,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.3-gguf,beomi/Llama-3-Open-Ko-8B-Instruct-preview
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-Code-v1.3,beomi/Llama-3-Open-Ko-8B-Instruct-preview
sravanthib/instruct-Llama-3.1-8B-open-RL,meta-llama/Llama-3.1-8B-Instruct
mradermacher/OpenR1-Qwen-7B-Turkish-GGUF,WiroAI/OpenR1-Qwen-7B-Turkish
Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora-Q6_K-GGUF,Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora
FM-1976/Lite-Oute-1-300M-Instruct-openvino,OuteAI/Lite-Oute-1-300M-Instruct
WiroAI/OpenR1-Qwen-7B-Turkish,- Qwen/Qwen2.5-7B-Instruct
WiroAI/OpenR1-Qwen-7B-French,- Qwen/Qwen2.5-7B-Instruct
WiroAI/OpenR1-Qwen-7B-Italian,- Qwen/Qwen2.5-7B-Instruct
OpenGenerativeAI/Bifrost,- microsoft/phi-4
hsuwill000/Qwen2.5-1.5B-Instruct-abliterated-openvino-8bit,huihui-ai/Qwen2.5-1.5B-Instruct-abliterated
Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora-Q5_K_M-GGUF,Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora
Georgeloveyou/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mlfoundations-dev/qwen2-5_multiple_samples_ground_truth_openr1_clean,Qwen/Qwen2.5-7B-Instruct
XiaoJie88/DFYD-Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
adamhao123/Qwen2.5-1.5B-Open-R1-Distill-sft,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
chucre/Llama3-OpenBioLLM-70B,meta-llama/Meta-Llama-3-70B-Instruct
flyingbugs/OpenR1-Qwen-7B-instruct-SFT,Qwen/Qwen2.5-7B-Instruct
Raghav2002/Qwen2.5-1.5B-Open-R1-GRPO,Qwen/Qwen2.5-1.5B-Instruct
erythropygia/Qwen2.5-7B-Instruct-OpenR1-Turkish,- Qwen/Qwen2.5-7B-Instruct
shawnzzzzz/Qwen2.5-VL-7B-Open-R1-Distill,Qwen/Qwen2.5-VL-7B-Instruct
shawnzzzzz/Qwen2.5-7B-Open-R1-Distill,Qwen/Qwen2.5-7B-Instruct
cameronphchen/Qwen2.5-1.5B-Open-R1-GRPO,Qwen/Qwen2.5-1.5B-Instruct
bal723/TinyLlama-1.1B-Chat-v1.0-openvino-4bit,TinyLlama/TinyLlama-1.1B-Chat-v1.0
adamhao123/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
Haitao999/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
wlzhou/Qwen2.5-1.5B-Open-R1-GRPO,Qwen/Qwen2.5-1.5B-Instruct
Grogros/dmWM-meta-llama-Llama-3.2-1B-Instruct-ft-HarmData-AlpacaGPT4-OpenWebText-d4-a0.25,meta-llama/Llama-3.2-1B-Instruct
hzk17/Qwen2.5-1.5B-Open-R1-GRPO,Qwen/Qwen2.5-1.5B-Instruct
XiaoJie88/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-v1.1-gguf,beomi/Llama-3-Open-Ko-8B-Instruct-preview
linkonx/Llama-3-Open-Ko-8B-LinkOnX-Modeler-v1.1,beomi/Llama-3-Open-Ko-8B-Instruct-preview
onekq-ai/Open-Reasoner-Zero-7B-bnb-4bit,- Open-Reasoner-Zero/Open-Reasoner-Zero-7B
onekq-ai/OpenThinker-7B-bnb-4bit,- open-thoughts/OpenThinker-7B
onekq-ai/OpenR1-Qwen-7B-bnb-4bit,- open-r1/OpenR1-Qwen-7B
a-F1/Qwen2.5-1.5B-Instruct-SFT-OpenR1-LR_5e-5-Epoch_2,Qwen/Qwen2.5-1.5B-Instruct
a-F1/Qwen2.5-1.5B-Instruct-SFT-OpenR1-LR_2e-5-Epoch_2,Qwen/Qwen2.5-1.5B-Instruct
a-F1/Qwen2.5-1.5B-Instruct-SFT-OpenR1-LR_1e-4-Epoch_2,Qwen/Qwen2.5-1.5B-Instruct
Lalu-Prakash/phi4_FineTuned_OpenR1-Math-200k,unsloth/phi-4-unsloth-bnb-4bit
Harveenchadha/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
smalinin/gorilla-openfunctions-v2_q4f32_1-MLC,gorilla-llm/gorilla-openfunctions-v2
huggingkot/OpenCAI-8B-V2-q4f16_1-MLC,- Norquinal/OpenCAI-8B-V2
huggingkot/OpenCAI-7B-V2-q4f16_1-MLC,- Norquinal/OpenCAI-7B-V2
adrlau/qwen2.5-vl-openscad-adapter-v1.2,unsloth/qwen2.5-vl-7b-instruct-unsloth-bnb-4bit
qsam23/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
rkumar1999/Llama-3.1-8B-Instruct-Open-R1-Distill-Lean,meta-llama/Llama-3.1-8B-Instruct
DevQuasar/openai-community.gpt2-large-GGUF,- openai-community/gpt2-large
DevQuasar/openai-community.gpt2-medium-GGUF,- openai-community/gpt2-medium
DevQuasar/openai-community.gpt2-xl-GGUF,- openai-community/gpt2-xl
DevQuasar/openai-community.gpt2-GGUF,- openai-community/gpt2
a-F1/Qwen2.5-1.5B-Instruct-SFT-OpenR1-LR_2e-5,Qwen/Qwen2.5-1.5B-Instruct
a-F1/Qwen2.5-1.5B-Instruct-SFT-OpenR1-LR_5e-5,Qwen/Qwen2.5-1.5B-Instruct
a-F1/Qwen2.5-1.5B-Instruct-SFT-OpenR1-LR_1e-5,Qwen/Qwen2.5-1.5B-Instruct
a-F1/Qwen2.5-1.5B-Instruct-SFT-OpenR1-LR_5e-6,Qwen/Qwen2.5-1.5B-Instruct
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,EpistemeAI/ReasoningCore-Llama-3.2-3B-r1-V1.1
OPENZEKA/openzeka_llm_beta,- meta-llama/Llama-3.1-8B-Instruct
flyingbugs/OpenR1-Qwen-1.5B-SFT-utility,Qwen/Qwen2.5-Math-1.5B-Instruct
certd/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
zztheaven/Llama-3.2-3B-Instruct-Open-R1-GRPO-2,meta-llama/Llama-3.2-3B-Instruct
eagle0504/qwen-2-5-3b-instruct-using-openai-gsm8k-gguf-data-enhanced-with-deepseek-v3-small,- Qwen/Qwen2.5-3B-Instruct
flyingbugs/OpenR1-Qwen-7B-SFT,Qwen/Qwen2.5-Math-7B-Instruct
a-F1/Qwen-1.5B-SFT-OpenR1-LR_2e-5,Qwen/Qwen2.5-Math-1.5B-Instruct
a-F1/Qwen-1.5B-SFT-OpenR1-LR_5e-5,Qwen/Qwen2.5-Math-1.5B-Instruct
a-F1/Qwen-1.5B-SFT-OpenR1-LR_1e-5,Qwen/Qwen2.5-Math-1.5B-Instruct
a-F1/Qwen-1.5B-SFT-OpenR1-LR_5e-6,Qwen/Qwen2.5-Math-1.5B-Instruct
mradermacher/openbuddy-qwq-32b-v24.1-200k-GGUF,OpenBuddy/openbuddy-qwq-32b-v24.1-200k
wooferclaw/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/OpenLlama-Stable-7B-GGUF,Davidsv/OpenLlama-Stable-7B
flyingbugs/OpenR1-Qwen-1.5B-SFT,Qwen/Qwen2.5-Math-1.5B-Instruct
RedaAlami/Falcon3-7B-Instruct-OpenR1-Math,tiiuae/Falcon3-7B-Instruct
hzk17/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
Rano23/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/openbuddy-r1-32b-v24.1-200k-i1-GGUF,OpenBuddy/openbuddy-r1-32b-v24.1-200k
mradermacher/Tiny-DarkLlama-OpenPlatypus-GGUF,mrcuddle/Tiny-DarkLlama-OpenPlatypus
u-10bei/llm-jp-3-13b-instruct2-gpro-0222_OpenMATHinstruct_1800_sft,llm-jp/llm-jp-3-13b-instruct2
imdatta0/llama_openthoughts_114k_sorted,meta-llama/Meta-Llama-3.1-8B-Instruct
youngtae7/Llama-3-Open-Ko-8B-Instruct-aict01-gguf,beomi/Llama-3-Open-Ko-8B-Instruct-preview
Davidsv/OpenLlama-Stable-7B,- openlm-research/open_llama_7b
mradermacher/openbuddy-r1-32b-v24.1-200k-GGUF,OpenBuddy/openbuddy-r1-32b-v24.1-200k
mradermacher/OpenLongCoT-Base-Gemma2-2B-GGUF,di-zhang-fdu/OpenLongCoT-Base-Gemma2-2B
mradermacher/OpenELM-1_1B-GGUF,apple/OpenELM-1_1B
mradermacher/OpenELM-1_1B-Instruct-GGUF,apple/OpenELM-1_1B-Instruct
mradermacher/OpenELM-270M-GGUF,apple/OpenELM-270M
mradermacher/OpenELM-270M-Instruct-GGUF,apple/OpenELM-270M-Instruct
mradermacher/OpenELM-3B-GGUF,apple/OpenELM-3B
mradermacher/OpenELM-3B-Instruct-GGUF,apple/OpenELM-3B-Instruct
mradermacher/OpenELM-450M-GGUF,apple/OpenELM-450M
mradermacher/OpenELM-450M-Instruct-GGUF,apple/OpenELM-450M-Instruct
opencsg/OpenCSG-Qwen2.5-3B-GUI,- Qwen/Qwen2.5-VL-3B-Instruct
mradermacher/OpenCoder-8B-Instruct-i1-GGUF,infly/OpenCoder-8B-Instruct
yyyyyyyy123456/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
AHAMED-27/VAGOsolutions-Llama-3-SauerkrautLM-8b-Instruct-openassistant-guanaco,VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct
AHAMED-27/Qwen-Qwen2.5-7B-Instruct-open-assistant-guanaco-2,Qwen/Qwen2.5-7B
mradermacher/openbuddy-r1-67b-v25.1-65k-i1-GGUF,OpenBuddy/openbuddy-r1-67b-v25.1-65k
mradermacher/openbuddy-r1-67b-v25.1-65k-GGUF,OpenBuddy/openbuddy-r1-67b-v25.1-65k
john202502/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
PrunaAI/Open-Orca-Mistral-7B-OpenOrca-HQQ-8bit-smashed,ORIGINAL_REPO_NAME
opencsg/OpenCSG-Qwen2.5-7B-GUI,- Qwen/Qwen2.5-VL-7B-Instruct
qishenfu/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
openlife2/peft-starcoder-lora-a100,bigcode/starcoderbase-1b
ydydy/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/Qwen2.5-7B-Openthink77k-SFT-GGUF,Guanzheng/Qwen2.5-7B-Openthink77k-SFT
AHAMED-27/aha-google-gemma-2b-Instruct-open-assistant-guanaco-2,google/gemma-2b
CHENGEX/Qwen2.5-0.5B-Open-R1-Distill,Qwen/Qwen2.5-0.5B-Instruct
PrunaAI/cyberagent-open-calm-7b-AWQ-4bit-smashed,ORIGINAL_REPO_NAME
openminderai/gideon-v0,- Qwen/Qwen2.5-32B-Instruct
openminderai/gideon-v0-adapter,Qwen/Qwen2.5-32B-Instruct
PrunaAI/openchat-openchat-3.5-1210-bnb-4bit-smashed,ORIGINAL_REPO_NAME
frdrwn/OpenELM-270M-Instruct-Q5_0-GGUF,apple/OpenELM-270M-Instruct
PrunaAI/openchat-openchat-3.5-1210-HQQ-8bit-smashed,ORIGINAL_REPO_NAME
zztheaven/Llama-3.1-8B-Instruct-Open-R1-GRPO,meta-llama/Llama-3.1-8B-Instruct
Evangelinejy/Qwen2.5-1.5B-Open-R1-GRPO,Qwen/Qwen2.5-1.5B-Instruct
PrunaAI/m-a-p-OpenCodeInterpreter-DS-6.7B-bnb-8bit-smashed,ORIGINAL_REPO_NAME
a-F1/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
PrunaAI/OpenPipe-mistral-ft-optimized-1218-bnb-4bit-smashed,ORIGINAL_REPO_NAME
gsantopaolo/openchat_3.5_minecraft,openchat/openchat_3.5
yfliao/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
ustchhy/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
DevQuasar/WiroAI.OpenR1-Qwen-7B-Turkish-GGUF,- WiroAI/OpenR1-Qwen-7B-Turkish
Intel/whisper-medium-openvino-fp16,openai/whisper-medium
PrunaAI/m-a-p-OpenCodeInterpreter-DS-6.7B-HQQ-4bit-smashed,ORIGINAL_REPO_NAME
Nexesenex/Llama_3.2_1b_OpenTree_R1_0.1,- KingNish/Reasoning-Llama-1b-v0.1
mradermacher/OpenCSG-R1-Qwen2.5-Math-7B-V1-i1-GGUF,opencsg/OpenCSG-R1-Qwen2.5-Math-7B-V1
mradermacher/OpenCSG-R1-Qwen2.5-Math-7B-V1-GGUF,opencsg/OpenCSG-R1-Qwen2.5-Math-7B-V1
AHAMED-27/Meta-Llama-3-8B-finetuned-openassistant-guanaco,meta-llama/Meta-Llama-3-8B
PrunaAI/OpenPipe-mistral-ft-optimized-1218-HQQ-4bit-smashed,ORIGINAL_REPO_NAME
coolcui/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
gordonguanghui/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/OpenThink-GGUF,mrdayl/OpenThink
opencsg/OpenCSG-R1-Qwen2.5-Math-7B-V1,- Qwen/Qwen2.5-7B-Instruct
openbmb/MiniCPM-Llama3-V-2_5-int4,- openbmb/MiniCPM-Llama3-V-2_5
openbmb/MiniCPM-Llama3-V-2_5-gguf,- openbmb/MiniCPM-Llama3-V-2_5
openbmb/MiniCPM-V-2_6-gguf,- openbmb/MiniCPM-V-2_6
luoyashuo/Qwen2.5-1.5B-Open-R1-GRPO,Qwen/Qwen2.5-1.5B-Instruct
AHAMED-27/google-gemma-7b-finetuned-openassistant-guanaco,google/gemma-2b
mlfoundations-dev/openthoughts114k-qwenmath-fa2,Qwen/Qwen2.5-Math-7B-Instruct
zijianh/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mlfoundations-dev/openthoughts114k-qwenmath,Qwen/Qwen2.5-Math-7B-Instruct
mradermacher/OpenThinker-32B-Hermes-FC-i1-GGUF,RZ412/OpenThinker-32B-Hermes-FC
yjh00/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
zzhang1987/Qwen2.5-VL-3B-Instruct-Open-R1-Distill-select,Qwen/Qwen2.5-VL-3B-Instruct
PrunaAI/beowolx-CodeNinja-1.0-OpenChat-7B-HQQ-4bit-smashed,ORIGINAL_REPO_NAME
PrunaAI/open-thoughts-OpenThinker-7B-HQQ-8bit-smashed,ORIGINAL_REPO_NAME
PrunaAI/open-thoughts-OpenThinker-7B-HQQ-4bit-smashed,ORIGINAL_REPO_NAME
OpenPipe/rohan-llama-3.1-8b-instruct-cft-juicebox,unsloth/Meta-Llama-3.1-8B-Instruct
alicogniai/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/OpenR1-AceGPT-v2-8B-SFT-GGUF,asas-ai/OpenR1-AceGPT-v2-8B-SFT
asas-ai/OpenR1-AceGPT-v2-8B-SFT,asas-ai/AceGPT-v2-8b-chat
PrunaAI/openchat-openchat-3.5-1210-HQQ-4bit-smashed,ORIGINAL_REPO_NAME
caijanfeng/Qwen2.5-1.5B-Open-R1-Distill-OpenR1-Math-220k,Qwen/Qwen2.5-1.5B-Instruct
flyingbugs/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/OpenThinker-7B-Hermes-FC-GGUF,RZ412/OpenThinker-7B-Hermes-FC
Rishabh56/SFT-OpenAssistant-ChemistryDataset,OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
openity/TinyR1-32B-Preview-Q5_K_M-GGUF,qihoo360/TinyR1-32B-Preview
lyqlola/Qwen2.5-1.5B-Open-R1-Distill,Qwen/Qwen2.5-1.5B-Instruct
anokimchen/sd-turbo-openvino,stabilityai/sd-turbo
brittlewis12/Open-Reasoner-Zero-7B-GGUF,Open-Reasoner-Zero/Open-Reasoner-Zero-7B
